emp_no,salary,from_date,to_date
10001,52059,2009-01-01,2009-12-31
10001,54465,2010-01-01,2010-12-31
10001,56861,2011-01-01,2011-12-31
10001,59498,2012-01-01,2012-12-31
10001,64102,2013-01-01,2013-12-31
10001,66688,2014-01-01,2014-12-31
10001,68769,2015-01-01,2015-12-31
10001,72999,2016-01-01,2016-12-31
10001,76067,2017-01-01,2017-12-31
10001,81227,2018-01-01,2018-12-31
10001,84151,2019-01-01,2019-12-31
10001,86251,2020-01-01,2020-12-31
10001,90172,2021-01-01,2021-12-31
10001,94305,2022-01-01,2022-12-31
10001,101821,2023-01-01,2023-12-31
10002,49626,2007-01-01,2007-12-31
10002,51574,2008-01-01,2008-12-31
10002,52853,2009-01-01,2009-12-31
10002,56005,2010-01-01,2010-12-31
10002,58155,2011-01-01,2011-12-31
10002,61420,2012-01-01,2012-12-31
10002,64218,2013-01-01,2013-12-31
10002,68160,2014-01-01,2014-12-31
10002,70960,2015-01-01,2015-12-31
10002,72559,2016-01-01,2016-12-31
10002,77797,2017-01-01,2017-12-31
10002,80998,2018-01-01,2018-12-31
10002,87468,2019-01-01,2019-12-31
10002,90658,2020-01-01,2020-12-31
10002,97801,2021-01-01,2021-12-31
10002,105319,2022-01-01,2022-12-31
10002,107899,2023-01-01,2023-12-31
10003,51904,2022-01-01,2022-12-31
10003,54539,2023-01-01,2023-12-31
10004,45242,2018-01-01,2018-12-31
10004,48733,2019-01-01,2019-12-31
10004,50125,2020-01-01,2020-12-31
10004,52954,2021-01-01,2021-12-31
10004,56495,2022-01-01,2022-12-31
10004,57742,2023-01-01,2023-12-31
10005,65510,2008-01-01,2008-12-31
10005,69356,2009-01-01,2009-12-31
10005,72250,2010-01-01,2010-12-31
10005,77810,2011-01-01,2011-12-31
10005,79517,2012-01-01,2012-12-31
10005,81839,2013-01-01,2013-12-31
10005,85685,2014-01-01,2014-12-31
10005,89305,2015-01-01,2015-12-31
10005,93469,2016-01-01,2016-12-31
10005,95769,2017-01-01,2017-12-31
10005,98475,2018-01-01,2018-12-31
10005,102612,2019-01-01,2019-12-31
10005,106599,2020-01-01,2020-12-31
10005,110513,2021-01-01,2021-12-31
10005,119092,2022-01-01,2022-12-31
10005,121659,2023-01-01,2023-12-31
10006,56965,2022-01-01,2022-12-31
10006,59426,2023-01-01,2023-12-31
10007,48577,2007-01-01,2007-12-31
10007,51807,2008-01-01,2008-12-31
10007,55031,2009-01-01,2009-12-31
10007,56840,2010-01-01,2010-12-31
10007,60063,2011-01-01,2011-12-31
10007,63765,2012-01-01,2012-12-31
10007,68860,2013-01-01,2013-12-31
10007,71064,2014-01-01,2014-12-31
10007,73064,2015-01-01,2015-12-31
10007,74849,2016-01-01,2016-12-31
10007,77121,2017-01-01,2017-12-31
10007,81964,2018-01-01,2018-12-31
10007,88507,2019-01-01,2019-12-31
10007,94581,2020-01-01,2020-12-31
10007,101963,2021-01-01,2021-12-31
10007,110037,2022-01-01,2022-12-31
10007,116646,2023-01-01,2023-12-31
10008,58022,2013-01-01,2013-12-31
10008,61069,2014-01-01,2014-12-31
10008,65556,2015-01-01,2015-12-31
10008,70215,2016-01-01,2016-12-31
10008,74618,2017-01-01,2017-12-31
10008,80262,2018-01-01,2018-12-31
10008,84938,2019-01-01,2019-12-31
10008,90681,2020-01-01,2020-12-31
10008,95262,2021-01-01,2021-12-31
10008,97860,2022-01-01,2022-12-31
10008,100997,2023-01-01,2023-12-31
10009,65898,2013-01-01,2013-12-31
10009,69169,2014-01-01,2014-12-31
10009,72050,2015-01-01,2015-12-31
10009,75964,2016-01-01,2016-12-31
10009,79613,2017-01-01,2017-12-31
10009,85900,2018-01-01,2018-12-31
10009,88286,2019-01-01,2019-12-31
10009,94735,2020-01-01,2020-12-31
10009,97003,2021-01-01,2021-12-31
10009,101260,2022-01-01,2022-12-31
10009,107641,2023-01-01,2023-12-31
10010,53460,2017-01-01,2017-12-31
10010,56996,2018-01-01,2018-12-31
10010,60951,2019-01-01,2019-12-31
10010,62439,2020-01-01,2020-12-31
10010,67330,2021-01-01,2021-12-31
10010,71271,2022-01-01,2022-12-31
10010,74620,2023-01-01,2023-12-31
10011,51289,2006-01-01,2006-12-31
10011,52709,2007-01-01,2007-12-31
10011,56385,2008-01-01,2008-12-31
10011,59377,2009-01-01,2009-12-31
10011,62658,2010-01-01,2010-12-31
10011,66797,2011-01-01,2011-12-31
10011,68650,2012-01-01,2012-12-31
10011,72094,2013-01-01,2013-12-31
10011,77291,2014-01-01,2014-12-31
10011,82692,2015-01-01,2015-12-31
10011,86916,2016-01-01,2016-12-31
10011,90240,2017-01-01,2017-12-31
10011,92921,2018-01-01,2018-12-31
10011,99990,2019-01-01,2019-12-31
10011,103342,2020-01-01,2020-12-31
10011,111283,2021-01-01,2021-12-31
10011,116973,2022-01-01,2022-12-31
10011,121306,2023-01-01,2023-12-31
10012,46432,2020-01-01,2020-12-31
10012,49129,2021-01-01,2021-12-31
10012,51735,2022-01-01,2022-12-31
10012,53158,2023-01-01,2023-12-31
10013,57481,2022-01-01,2022-12-31
10013,58952,2023-01-01,2023-12-31
10014,59392,2009-01-01,2009-12-31
10014,63935,2010-01-01,2010-12-31
10014,65805,2011-01-01,2011-12-31
10014,69721,2012-01-01,2012-12-31
10014,74130,2013-01-01,2013-12-31
10014,78304,2014-01-01,2014-12-31
10014,83828,2015-01-01,2015-12-31
10014,88339,2016-01-01,2016-12-31
10014,94479,2017-01-01,2017-12-31
10014,96529,2018-01-01,2018-12-31
10014,98722,2019-01-01,2019-12-31
10014,104495,2020-01-01,2020-12-31
10014,110201,2021-01-01,2021-12-31
10014,116710,2022-01-01,2022-12-31
10014,124414,2023-01-01,2023-12-31
10015,60938,2018-01-01,2018-12-31
10015,62267,2019-01-01,2019-12-31
10015,66833,2020-01-01,2020-12-31
10015,70357,2021-01-01,2021-12-31
10015,74473,2022-01-01,2022-12-31
10015,77312,2023-01-01,2023-12-31
10016,66455,2005-01-01,2005-12-31
10016,70515,2006-01-01,2006-12-31
10016,73183,2007-01-01,2007-12-31
10016,74967,2008-01-01,2008-12-31
10016,76735,2009-01-01,2009-12-31
10016,80293,2010-01-01,2010-12-31
10016,84231,2011-01-01,2011-12-31
10016,86946,2012-01-01,2012-12-31
10016,91849,2013-01-01,2013-12-31
10016,95408,2014-01-01,2014-12-31
10016,101428,2015-01-01,2015-12-31
10016,107924,2016-01-01,2016-12-31
10016,115656,2017-01-01,2017-12-31
10016,124737,2018-01-01,2018-12-31
10016,128210,2019-01-01,2019-12-31
10016,133624,2020-01-01,2020-12-31
10016,140799,2021-01-01,2021-12-31
10016,146310,2022-01-01,2022-12-31
10016,153331,2023-01-01,2023-12-31
10017,48123,2018-01-01,2018-12-31
10017,49492,2019-01-01,2019-12-31
10017,50632,2020-01-01,2020-12-31
10017,54516,2021-01-01,2021-12-31
10017,58432,2022-01-01,2022-12-31
10017,61066,2023-01-01,2023-12-31
10018,69566,2014-01-01,2014-12-31
10018,71623,2015-01-01,2015-12-31
10018,74462,2016-01-01,2016-12-31
10018,78532,2017-01-01,2017-12-31
10018,81576,2018-01-01,2018-12-31
10018,86942,2019-01-01,2019-12-31
10018,91280,2020-01-01,2020-12-31
10018,95924,2021-01-01,2021-12-31
10018,100713,2022-01-01,2022-12-31
10018,104591,2023-01-01,2023-12-31
10019,52885,2021-01-01,2021-12-31
10019,55546,2022-01-01,2022-12-31
10019,59878,2023-01-01,2023-12-31
10020,51563,2014-01-01,2014-12-31
10020,52744,2015-01-01,2015-12-31
10020,54689,2016-01-01,2016-12-31
10020,57743,2017-01-01,2017-12-31
10020,61817,2018-01-01,2018-12-31
10020,65547,2019-01-01,2019-12-31
10020,67981,2020-01-01,2020-12-31
10020,69373,2021-01-01,2021-12-31
10020,71207,2022-01-01,2022-12-31
10020,73203,2023-01-01,2023-12-31
10021,51985,2007-01-01,2007-12-31
10021,55407,2008-01-01,2008-12-31
10021,57731,2009-01-01,2009-12-31
10021,60273,2010-01-01,2010-12-31
10021,63540,2011-01-01,2011-12-31
10021,65552,2012-01-01,2012-12-31
10021,69038,2013-01-01,2013-12-31
10021,70723,2014-01-01,2014-12-31
10021,74277,2015-01-01,2015-12-31
10021,79169,2016-01-01,2016-12-31
10021,82081,2017-01-01,2017-12-31
10021,88593,2018-01-01,2018-12-31
10021,93981,2019-01-01,2019-12-31
10021,96530,2020-01-01,2020-12-31
10021,104108,2021-01-01,2021-12-31
10021,108650,2022-01-01,2022-12-31
10021,116004,2023-01-01,2023-12-31
10022,51980,2018-01-01,2018-12-31
10022,55374,2019-01-01,2019-12-31
10022,57142,2020-01-01,2020-12-31
10022,60030,2021-01-01,2021-12-31
10022,63031,2022-01-01,2022-12-31
10022,64462,2023-01-01,2023-12-31
10023,50913,2016-01-01,2016-12-31
10023,54387,2017-01-01,2017-12-31
10023,57169,2018-01-01,2018-12-31
10023,58823,2019-01-01,2019-12-31
10023,63151,2020-01-01,2020-12-31
10023,64943,2021-01-01,2021-12-31
10023,69871,2022-01-01,2022-12-31
10023,72603,2023-01-01,2023-12-31
10024,60201,2005-01-01,2005-12-31
10024,64075,2006-01-01,2006-12-31
10024,66506,2007-01-01,2007-12-31
10024,69178,2008-01-01,2008-12-31
10024,73999,2009-01-01,2009-12-31
10024,77842,2010-01-01,2010-12-31
10024,82709,2011-01-01,2011-12-31
10024,85850,2012-01-01,2012-12-31
10024,91768,2013-01-01,2013-12-31
10024,95631,2014-01-01,2014-12-31
10024,101409,2015-01-01,2015-12-31
10024,109399,2016-01-01,2016-12-31
10024,115418,2017-01-01,2017-12-31
10024,123243,2018-01-01,2018-12-31
10024,131071,2019-01-01,2019-12-31
10024,139103,2020-01-01,2020-12-31
10024,142107,2021-01-01,2021-12-31
10024,148995,2022-01-01,2022-12-31
10024,160620,2023-01-01,2023-12-31
10025,65433,2006-01-01,2006-12-31
10025,69012,2007-01-01,2007-12-31
10025,71334,2008-01-01,2008-12-31
10025,72980,2009-01-01,2009-12-31
10025,76543,2010-01-01,2010-12-31
10025,80481,2011-01-01,2011-12-31
10025,85573,2012-01-01,2012-12-31
10025,91261,2013-01-01,2013-12-31
10025,95168,2014-01-01,2014-12-31
10025,101763,2015-01-01,2015-12-31
10025,105277,2016-01-01,2016-12-31
10025,110999,2017-01-01,2017-12-31
10025,117884,2018-01-01,2018-12-31
10025,121591,2019-01-01,2019-12-31
10025,127240,2020-01-01,2020-12-31
10025,132981,2021-01-01,2021-12-31
10025,138935,2022-01-01,2022-12-31
10025,143413,2023-01-01,2023-12-31
10026,60036,2013-01-01,2013-12-31
10026,64552,2014-01-01,2014-12-31
10026,69223,2015-01-01,2015-12-31
10026,73663,2016-01-01,2016-12-31
10026,75411,2017-01-01,2017-12-31
10026,77543,2018-01-01,2018-12-31
10026,80058,2019-01-01,2019-12-31
10026,83220,2020-01-01,2020-12-31
10026,88191,2021-01-01,2021-12-31
10026,92735,2022-01-01,2022-12-31
10026,96335,2023-01-01,2023-12-31
10027,69888,2020-01-01,2020-12-31
10027,73521,2021-01-01,2021-12-31
10027,77401,2022-01-01,2022-12-31
10027,82087,2023-01-01,2023-12-31
10028,62306,2019-01-01,2019-12-31
10028,65957,2020-01-01,2020-12-31
10028,70019,2021-01-01,2021-12-31
10028,73982,2022-01-01,2022-12-31
10028,76315,2023-01-01,2023-12-31
10029,58287,2008-01-01,2008-12-31
10029,60496,2009-01-01,2009-12-31
10029,65123,2010-01-01,2010-12-31
10029,70263,2011-01-01,2011-12-31
10029,74919,2012-01-01,2012-12-31
10029,79586,2013-01-01,2013-12-31
10029,84473,2014-01-01,2014-12-31
10029,88640,2015-01-01,2015-12-31
10029,92964,2016-01-01,2016-12-31
10029,97949,2017-01-01,2017-12-31
10029,105399,2018-01-01,2018-12-31
10029,112070,2019-01-01,2019-12-31
10029,116246,2020-01-01,2020-12-31
10029,122570,2021-01-01,2021-12-31
10029,129016,2022-01-01,2022-12-31
10029,138530,2023-01-01,2023-12-31
10030,51309,2013-01-01,2013-12-31
10030,55273,2014-01-01,2014-12-31
10030,59046,2015-01-01,2015-12-31
10030,61255,2016-01-01,2016-12-31
10030,63537,2017-01-01,2017-12-31
10030,67530,2018-01-01,2018-12-31
10030,70283,2019-01-01,2019-12-31
10030,73554,2020-01-01,2020-12-31
10030,76156,2021-01-01,2021-12-31
10030,79868,2022-01-01,2022-12-31
10030,82433,2023-01-01,2023-12-31
10031,58416,2022-01-01,2022-12-31
10031,62024,2023-01-01,2023-12-31
10032,60174,2011-01-01,2011-12-31
10032,64052,2012-01-01,2012-12-31
10032,66252,2013-01-01,2013-12-31
10032,67778,2014-01-01,2014-12-31
10032,72814,2015-01-01,2015-12-31
10032,75256,2016-01-01,2016-12-31
10032,77812,2017-01-01,2017-12-31
10032,79836,2018-01-01,2018-12-31
10032,83014,2019-01-01,2019-12-31
10032,87027,2020-01-01,2020-12-31
10032,92324,2021-01-01,2021-12-31
10032,94931,2022-01-01,2022-12-31
10032,102323,2023-01-01,2023-12-31
10033,45175,2019-01-01,2019-12-31
10033,47181,2020-01-01,2020-12-31
10033,50771,2021-01-01,2021-12-31
10033,54462,2022-01-01,2022-12-31
10033,57111,2023-01-01,2023-12-31
10034,49412,2011-01-01,2011-12-31
10034,51352,2012-01-01,2012-12-31
10034,54369,2013-01-01,2013-12-31
10034,58418,2014-01-01,2014-12-31
10034,59899,2015-01-01,2015-12-31
10034,63160,2016-01-01,2016-12-31
10034,66451,2017-01-01,2017-12-31
10034,70663,2018-01-01,2018-12-31
10034,76047,2019-01-01,2019-12-31
10034,81734,2020-01-01,2020-12-31
10034,84227,2021-01-01,2021-12-31
10034,90370,2022-01-01,2022-12-31
10034,93130,2023-01-01,2023-12-31
10035,67400,2023-01-01,2023-12-31
10036,56232,2010-01-01,2010-12-31
10036,57985,2011-01-01,2011-12-31
10036,61750,2012-01-01,2012-12-31
10036,66216,2013-01-01,2013-12-31
10036,68690,2014-01-01,2014-12-31
10036,70218,2015-01-01,2015-12-31
10036,72879,2016-01-01,2016-12-31
10036,76972,2017-01-01,2017-12-31
10036,82799,2018-01-01,2018-12-31
10036,86119,2019-01-01,2019-12-31
10036,90189,2020-01-01,2020-12-31
10036,95463,2021-01-01,2021-12-31
10036,100375,2022-01-01,2022-12-31
10036,107738,2023-01-01,2023-12-31
10037,56522,2023-01-01,2023-12-31
10038,46318,2011-01-01,2011-12-31
10038,49492,2012-01-01,2012-12-31
10038,51463,2013-01-01,2013-12-31
10038,54749,2014-01-01,2014-12-31
10038,57973,2015-01-01,2015-12-31
10038,61632,2016-01-01,2016-12-31
