emp_no,title,from_date,to_date
10001,Engineer,2009-12-04,2013-10-18
10001,Senior Staff,2013-10-18,9999-01-01
10002,Engineer,2007-04-08,9999-01-01
10003,Staff,2022-07-08,2026-03-30
10003,Engineer,2026-03-30,9999-01-01
10004,Staff,2018-06-09,9999-01-01
10005,Senior Engineer,2008-06-28,9999-01-01
10006,Staff,2022-02-13,9999-01-01
10007,Engineer,2007-01-22,9999-01-01
10008,Technique Leader,2013-08-21,9999-01-01
10009,Technique Leader,2013-12-22,9999-01-01
10010,Engineer,2017-05-21,9999-01-01
10011,Staff,2006-06-13,9999-01-01
10012,Senior Engineer,2020-07-21,9999-01-01
10013,Senior Staff,2022-09-09,2025-10-26
10013,Technique Leader,2025-10-26,9999-01-01
10014,Manager,2009-09-16,9999-01-01
10015,Staff,2018-10-03,9999-01-01
10016,Technique Leader,2005-11-24,2007-02-18
10016,Assistant Engineer,2007-02-18,9999-01-01
10017,Staff,2018-03-15,2019-08-21
10017,Senior Engineer,2019-08-21,9999-01-01
10018,Manager,2014-11-17,9999-01-01
10019,Manager,2021-01-20,2024-05-24
10019,Senior Engineer,2024-05-24,9999-01-01
10020,Staff,2014-04-02,9999-01-01
10021,Staff,2007-09-25,2009-09-10
10021,Engineer,2009-09-10,9999-01-01
10022,Technique Leader,2018-04-18,2021-04-28
10022,Assistant Engineer,2021-04-28,9999-01-01
10023,Senior Engineer,2016-08-17,9999-01-01
10024,Senior Staff,2005-10-18,9999-01-01
10025,Manager,2006-04-03,2010-03-11
10025,Senior Engineer,2010-03-11,9999-01-01
10026,Senior Engineer,2013-11-16,9999-01-01
10027,Assistant Engineer,2020-07-07,9999-01-01
10028,Senior Staff,2019-12-02,9999-01-01
10029,Technique Leader,2008-04-07,9999-01-01
10030,Staff,2013-08-08,9999-01-01
10031,Manager,2022-01-03,9999-01-01
10032,Technique Leader,2011-07-02,9999-01-01
10033,Engineer,2019-05-14,9999-01-01
10034,Senior Staff,2011-01-19,9999-01-01
10035,Senior Staff,2023-08-17,9999-01-01
10036,Senior Staff,2010-02-20,9999-01-01
10037,Manager,2023-10-02,9999-01-01
10038,Technique Leader,2011-11-23,9999-01-01
10039,Senior Staff,2014-08-11,9999-01-01
