emp_no,dept_no,from_date,to_date
10001,d006,2009-12-04,9999-01-01
10002,d009,2007-04-08,9999-01-01
10003,d006,2022-07-08,9999-01-01
10004,d001,2018-06-09,9999-01-01
10005,d007,2008-06-28,9999-01-01
10006,d005,2022-02-13,9999-01-01
10007,d004,2007-01-22,9999-01-01
10008,d002,2013-08-21,9999-01-01
10009,d008,2013-12-22,9999-01-01
10010,d002,2017-05-21,9999-01-01
10011,d004,2006-06-13,9999-01-01
10012,d001,2020-07-21,9999-01-01
10013,d001,2022-09-09,9999-01-01
10014,d006,2009-09-16,9999-01-01
10015,d004,2018-10-03,9999-01-01
10016,d003,2005-11-24,9999-01-01
10017,d004,2018-03-15,9999-01-01
10018,d002,2014-11-17,9999-01-01
10019,d009,2021-01-20,9999-01-01
10020,d004,2014-04-02,9999-01-01
10021,d004,2007-09-25,9999-01-01
10022,d004,2018-04-18,9999-01-01
10023,d006,2016-08-17,9999-01-01
10024,d003,2005-10-18,9999-01-01
10025,d001,2006-04-03,9999-01-01
10026,d005,2013-11-16,9999-01-01
10027,d003,2020-07-07,9999-01-01
10028,d003,2019-12-02,9999-01-01
10029,d009,2008-04-07,9999-01-01
10030,d005,2013-08-08,9999-01-01
10031,d003,2022-01-03,9999-01-01
10032,d002,2011-07-02,9999-01-01
10033,d001,2019-05-14,9999-01-01
10034,d003,2011-01-19,9999-01-01
10035,d001,2023-08-17,9999-01-01
10036,d006,2010-02-20,9999-01-01
10037,d004,2023-10-02,9999-01-01
10038,d006,2011-11-23,9999-01-01
10039,d001,2014-08-11,9999-01-01
10040,d003,2008-02-18,9999-01-01
10041,d005,2012-06-10,9999-01-01
10042,d001,2022-05-22,9999-01-01
10043,d003,2022-03-09,9999-01-01
10044,d007,2013-09-16,9999-01-01
10045,d009,2005-06-25,9999-01-01
10046,d002,2018-09-01,9999-01-01
10047,d002,2022-03-14,9999-01-01
10048,d008,2011-11-08,9999-01-01
10049,d008,2009-04-28,9999-01-01
10050,d006,2015-07-26,9999-01-01
10051,d009,2017-01-28,9999-01-01
10052,d002,2012-04-01,9999-01-01
10053,d008,2007-05-12,9999-01-01
10054,d009,2013-03-19,9999-01-01
10055,d004,2015-07-20,9999-01-01
10056,d001,2018-01-17,9999-01-01
10057,d009,2015-10-11,9999-01-01
10058,d005,2018-06-13,9999-01-01
10059,d008,2017-11-24,9999-01-01
10060,d001,2005-05-10,9999-01-01
10061,d001,2011-09-16,9999-01-01
10062,d008,2015-02-27,9999-01-01
10063,d007,2005-01-08,9999-01-01
10064,d007,2023-04-23,9999-01-01
10065,d002,2005-02-25,9999-01-01
10066,d008,2022-04-28,9999-01-01
10067,d008,2022-10-11,9999-01-01
10068,d002,2020-08-09,9999-01-01
10069,d002,2012-05-15,9999-01-01
10070,d006,2022-02-05,9999-01-01
10071,d003,2007-07-14,9999-01-01
10072,d002,2018-07-25,9999-01-01
10073,d003,2014-07-28,9999-01-01
10074,d005,2018-08-01,9999-01-01
10075,d009,2022-01-13,9999-01-01
10076,d006,2009-08-06,9999-01-01
10077,d007,2015-06-25,9999-01-01
10078,d009,2007-08-01,9999-01-01
10079,d005,2007-11-02,9999-01-01
10080,d008,2009-04-05,9999-01-01
10081,d009,2016-03-20,9999-01-01
10082,d007,2005-05-19,9999-01-01
10083,d002,2012-02-23,9999-01-01
10084,d002,2018-11-12,9999-01-01
10085,d009,2020-02-14,9999-01-01
10086,d004,2021-11-09,9999-01-01
10087,d007,2023-05-11,9999-01-01
10088,d008,2019-10-20,9999-01-01
10089,d004,2015-03-16,9999-01-01
10090,d007,2013-09-01,9999-01-01
10091,d006,2020-09-25,9999-01-01
10092,d008,2014-04-13,9999-01-01
10093,d007,2021-06-14,9999-01-01
10094,d007,2013-05-09,9999-01-01
10095,d002,2022-12-06,9999-01-01
10096,d006,2021-10-10,9999-01-01
10097,d007,2014-01-23,9999-01-01
10098,d006,2014-12-05,9999-01-01
10099,d005,2020-08-15,9999-01-01
10100,d006,2007-07-16,9999-01-01
